outcome,split,model,cv_auc_mean,cv_auc_std,cv_acc_mean,test_auc,test_acc,test_prec,test_rec,used_smote,auc_pass,auc_flag
1_Year_Survival,70_30,gbm,0.5427968955300112,0.00785855651550341,0.5612441015364554,0.5326369015860698,0.5814634146341463,0.6497829232995659,0.7059748427672956,False,False,FAIL
1_Year_Survival,70_30,rf,0.5241045005691659,0.007253359206328939,0.5393051836080321,0.5185405248096231,0.5658536585365853,0.637410071942446,0.6965408805031447,False,False,FAIL
1_Year_Survival,70_30,svm,0.5424641592191708,0.008847109832687114,0.5611120013293927,0.5481115907584356,0.52,0.6698113207547169,0.44654088050314467,False,False,FAIL
1_Year_Survival,70_30,xgb,0.524233950622841,0.0009940575581105762,0.5334289243584597,0.5113437939564438,0.5853658536585366,0.6214039125431531,0.8490566037735849,False,False,FAIL
1_Year_Survival,80_20,gbm,0.5378656343734418,0.0008598235983418475,0.5564060910559815,0.4808971457582198,0.6414565826330533,0.6547085201793722,0.9460043196544277,False,False,FAIL
1_Year_Survival,80_20,rf,0.5218626543231236,0.005211688639016096,0.5350731114144195,0.52498859852168,0.6372549019607843,0.6559633027522935,0.9265658747300216,False,False,FAIL
1_Year_Survival,80_20,svm,0.5346901462979048,0.00694561324697374,0.5546500548675696,0.5463760508721055,0.5630252100840336,0.6525252525252525,0.6976241900647948,False,False,FAIL
1_Year_Survival,80_20,xgb,0.5239346693268714,0.008342048173431465,0.5281727682275961,0.5337397709378469,0.5980392156862745,0.6549295774647887,0.8034557235421166,False,False,FAIL
Chronic_GVHD,70_30,gbm,0.5569547157199729,0.008009215920364026,0.7055755975535428,0.524040634113721,0.74,0.22267206477732793,0.11293634496919917,True,False,FAIL
Chronic_GVHD,70_30,rf,0.5704311657128339,0.0024731104342782142,0.6930454266984515,0.47567813866219566,0.4945833333333333,0.19185059422750425,0.46406570841889117,True,False,FAIL
Chronic_GVHD,70_30,svm,0.5772144071881934,0.004970964966618619,0.583611754337661,0.5692645478735681,0.47875,0.2306064880112835,0.6714579055441479,True,False,FAIL
Chronic_GVHD,70_30,xgb,0.5670792240314904,0.005529801998523552,0.7455895347824756,0.4729356365342072,0.6025,0.18144611186903137,0.2731006160164271,False,False,FAIL
Chronic_GVHD,80_20,gbm,0.5673004680386692,0.0018758867662342657,0.7189554542111533,0.5084297568957457,0.6033578174186779,0.2802547770700637,0.36666666666666664,True,False,FAIL
Chronic_GVHD,80_20,rf,0.5772735997430412,0.010643626157592682,0.6974865400874384,0.4777933613838242,0.31374606505771246,0.254739336492891,0.8958333333333334,True,False,FAIL
Chronic_GVHD,80_20,svm,0.5856199184921262,0.013884625446055133,0.5961817047162165,0.4759846891070594,0.4386149003147954,0.2332730560578662,0.5375,True,False,FAIL
Chronic_GVHD,80_20,xgb,0.573451824135804,0.006764850941545299,0.7594129986942567,0.4714323281907434,0.41028331584470096,0.23948220064724918,0.6166666666666667,False,False,FAIL
Neutrophil_Engraftment,70_30,gbm,0.6054266477237205,0.013617537314972424,0.7161163134549039,0.49628263415565876,0.5800073233247894,0.6874051593323217,0.7198093220338984,True,False,FAIL
Neutrophil_Engraftment,70_30,rf,0.612510882004887,0.01623321360074785,0.6962378840151141,0.49472726541608864,0.5192237275723178,0.6825396825396826,0.569385593220339,True,False,FAIL
Neutrophil_Engraftment,70_30,svm,0.6156094160008119,0.010991417720360894,0.6203384261540988,0.4816016622434003,0.43610399121201027,0.6695906432748538,0.3638771186440678,True,False,FAIL
Neutrophil_Engraftment,70_30,xgb,0.5937271173986066,0.006017485029531627,0.762280269426647,0.5246659931238313,0.42841450018308314,0.7131681877444589,0.2897245762711864,False,False,FAIL
Neutrophil_Engraftment,80_20,gbm,0.6085853630540022,0.009687591028362865,0.6951540031798843,0.4568058723689474,0.6094808126410836,0.6961063627730294,0.7864806866952789,True,False,FAIL
Neutrophil_Engraftment,80_20,rf,0.6182031696742892,0.011233782536792138,0.6697825317731706,0.5345631398579475,0.5831452219714071,0.7063318777292577,0.694206008583691,True,False,FAIL
Neutrophil_Engraftment,80_20,svm,0.614188329825577,0.013543690461659501,0.6011478731743048,0.42528053750770256,0.6162528216704289,0.6932234432234432,0.8122317596566524,True,False,FAIL
Neutrophil_Engraftment,80_20,xgb,0.605700799859775,0.005609992864662566,0.7531052754758703,0.5560885828261316,0.4236267870579383,0.7515151515151515,0.26609442060085836,False,False,FAIL
Platelet_Engraftment,70_30,gbm,0.5634041108045388,0.0036916059525301777,0.6640276086073893,0.4715369436975391,0.38456827924066134,0.6793893129770993,0.16196542311191992,True,False,FAIL
Platelet_Engraftment,70_30,rf,0.5619239346011908,0.003189917542426949,0.646163215590743,0.5047949617118729,0.39069197795468463,0.6645569620253164,0.1910828025477707,True,False,FAIL
Platelet_Engraftment,70_30,svm,0.5706233414163365,0.01261552980070082,0.5876979293544458,0.40429672190926036,0.40661359461114516,0.6065573770491803,0.33666969972702454,True,False,FAIL
Platelet_Engraftment,70_30,xgb,0.5514221397037452,0.002710841323741781,0.6794559480308567,0.48458677108573334,0.4923453766074709,0.6666666666666666,0.4913557779799818,False,False,FAIL
Platelet_Engraftment,80_20,gbm,0.559898594813849,0.00694561770727924,0.661387220098307,0.5089189811262851,0.4727954971857411,0.6751412429378532,0.34839650145772594,True,False,FAIL
Platelet_Engraftment,80_20,rf,0.5544640011589164,0.004273072890929701,0.6431822319315493,0.5366426269756022,0.5412757973733584,0.6695352839931153,0.5670553935860059,True,False,FAIL
Platelet_Engraftment,80_20,svm,0.55799266019605,0.0048704651977947155,0.5765519752412162,0.39148381156974066,0.4052532833020638,0.5524193548387096,0.39941690962099125,True,False,FAIL
Platelet_Engraftment,80_20,xgb,0.5506724129605486,0.007407583709120224,0.6852357545967594,0.469006061071045,0.5328330206378987,0.6163366336633663,0.7259475218658892,False,False,FAIL
