group,level,n,auc,acc,ap
Ethnicity,Non-Hispanic,2774,0.6019729663188418,0.7328767123287672,0.7240626954131076
Ethnicity,Hispanic/Latinx,604,0.6385562509798247,0.7052980132450332,0.7079307241222491
Ethnicity,Unknown,391,0.5343949835475259,0.690537084398977,0.7029255134463556
Race,Caucasian,2213,0.6069243096856616,0.7239042024401265,0.7244646072136275
Race,Unknown,883,0.5947707087185063,0.7361268403171007,0.7251748289910134
Race,African American,472,0.5571714743589744,0.684322033898305,0.6605390340738342
Race,Asian,165,0.7083040112596763,0.8,0.8040032934614338
Race,Other,36,0.4461538461538461,0.6111111111111112,0.6922653663471028
