group,level,n,auc,acc,ap
Ethnicity,Non-Hispanic,537,0.5567141909814324,0.702048417132216,0.7279706860860621
Ethnicity,Hispanic/Latinx,132,0.43004807692307695,0.6060606060606061,0.5597187746820691
Ethnicity,Unknown,85,0.6812255541069101,0.7176470588235294,0.8591486978283125
Race,Caucasian,430,0.5368619076672768,0.7,0.7051517863261847
Race,Unknown,183,0.6423280423280424,0.6612021857923497,0.7822420115128859
Race,African American,95,0.5763656633221851,0.7157894736842105,0.7756461751535424
Race,Asian,39,0.2485714285714286,0.6153846153846154,0.5165114432544866
