group,level,n,auc,acc,ap
Ethnicity,Non-Hispanic,2774,0.5388816876865847,0.5814708002883923,0.6071493043058529
Ethnicity,Unknown,1998,0.5065326310903361,0.5530530530530531,0.5640709013832454
Ethnicity,Hispanic/Latinx,604,0.5824634420697413,0.5927152317880795,0.6370545948153158
Race,Unknown,2490,0.5128506698187549,0.5598393574297189,0.5747259662595875
Race,Caucasian,2213,0.5543962731320102,0.5806597379123362,0.615132220950939
Race,African American,472,0.518866685430153,0.576271186440678,0.6107294582918521
Race,Asian,165,0.5309139784946236,0.6121212121212121,0.564346155039305
Race,Other,36,0.5694444444444445,0.6666666666666666,0.7563339780921708
